Delta_Value,Theta_Value,Alpha_Value,Beta_Value,Gamma_Value,SD_Delta_Value,SD_Theta_Value,SD_Alpha_Value,SD_Beta_Value,SD_Gamma_Value,Label
0.03191,0.040474,0.049239,0.148341,0.08204,0.011147,0.017066,0.019167,0.059896,0.046511,Mid Stress
0.204047,0.221553,0.246492,0.775028,0.511777,0.128514,0.153945,0.199576,0.673938,0.521622,Not Stress
0.133806,0.153106,0.186225,0.617841,0.349809,0.005653,0.011978,0.014412,0.086652,0.054849,High Stress
0.057525,0.064489,0.078743,0.271924,0.130572,0.016898,0.010859,0.019153,0.048393,0.030151,Mid Stress
0.180906,0.11784,0.128747,0.354349,0.192879,0.024089,0.029811,0.047551,0.10923,0.069396,Not Stress
0.268458,0.347412,0.381414,1.07745,0.581529,0.120328,0.138576,0.177361,0.693276,0.409184,High Stress
0.048588,0.049884,0.06441,0.21579,0.129512,0.036584,0.034655,0.048063,0.143141,0.101993,Mid Stress
0.400144,0.335468,0.273325,0.873707,0.550836,0.160176,0.160884,0.14851,0.587223,0.440463,Not Stress
0.164992,0.181278,0.181154,0.514803,0.267106,0.054183,0.050248,0.041109,0.0781,0.047533,High Stress
0.041534,0.048508,0.061001,0.183958,0.104824,0.002746,0.002771,0.005855,0.020737,0.011422,Mid Stress
0.324892,0.275656,0.212315,0.464035,0.199351,0.157151,0.152024,0.110937,0.239587,0.090967,Not Stress
0.079932,0.088309,0.091549,0.305857,0.161591,0.015822,0.022073,0.021814,0.073782,0.04,High Stress
0.042542,0.036005,0.035425,0.113979,0.062322,0.011403,0.009639,0.009586,0.038072,0.013334,Mid Stress
0.125798,0.118538,0.128714,0.301148,0.142283,0.068943,0.058859,0.062096,0.136527,0.06305,Not Stress
0.088348,0.084257,0.097943,0.305944,0.176735,0.048301,0.036168,0.040436,0.126175,0.077823,High Stress
0.016481,0.017109,0.017454,0.059262,0.035546,0.00828,0.003546,0.010806,0.029209,0.014096,Mid Stress
0.120336,0.107114,0.118728,0.307728,0.152894,0.054876,0.049969,0.054548,0.136626,0.06767,Not Stress
0.140497,0.174928,0.240262,0.792994,0.468236,0.075822,0.091787,0.133351,0.438463,0.269447,High Stress
0.035049,0.050196,0.050832,0.199942,0.120798,0.01975,0.03144,0.029847,0.124855,0.073999,Mid Stress
0.104609,0.110536,0.124438,0.396019,0.225085,0.036167,0.041343,0.049742,0.187225,0.122528,Not Stress
0.163485,0.175818,0.202843,0.607406,0.348097,0.067518,0.057622,0.0877,0.257915,0.151487,High Stress
0.055858,0.038166,0.042306,0.120972,0.058763,0.017327,0.009063,0.012454,0.029698,0.012826,Mid Stress
0.089118,0.087589,0.107392,0.331295,0.198805,0.025374,0.035498,0.047459,0.183749,0.124126,Not Stress
0.214074,0.135749,0.133993,0.353056,0.174645,0.052009,0.044383,0.046347,0.133855,0.071728,High Stress
0.027578,0.027758,0.032459,0.07548,0.047708,0.005004,0.005194,0.004199,0.007516,0.006095,Mid Stress
0.205679,0.136063,0.15383,0.291783,0.134419,0.0316,0.024277,0.052688,0.082321,0.054916,Not Stress
0.207227,0.270209,0.284964,0.75698,0.388094,0.032379,0.057479,0.063865,0.188773,0.116082,High Stress
0.027744,0.036585,0.041903,0.14196,0.077433,0.009212,0.010811,0.01408,0.046276,0.025608,Mid Stress
0.22064,0.233139,0.232996,0.645205,0.37207,0.03446,0.053735,0.065423,0.30724,0.212512,Not Stress
