Delta_Value,Theta_Value,Alpha_Value,SD_Theta_Value,SD_Gamma_Value,Label
0.1997,0.170993,0.174838,0.077702,0.104176,Not Stress
0.349497,0.390824,0.457396,0.322571,0.897198,High Stress
0.093796,0.092392,0.094313,0.049574,0.117067,Mid Stress
0.31343,0.214298,0.187698,0.145813,0.224343,Not Stress
0.346257,0.414355,0.510522,0.345372,0.96801,High Stress
0.126917,0.15477,0.180584,0.129474,0.347336,Mid Stress
0.27203,0.312615,0.340737,0.259815,0.836483,Not Stress
0.257436,0.273631,0.299868,0.156841,0.322803,High Stress
0.198843,0.114795,0.08821,0.062275,0.050604,Mid Stress
0.193128,0.150325,0.153875,0.066753,0.257485,Not Stress
0.185029,0.210316,0.259661,0.117802,0.369109,High Stress
0.049134,0.065241,0.071794,0.048214,0.090665,Mid Stress
0.228239,0.227012,0.24591,0.117587,0.483498,Not Stress
0.21893,0.181271,0.214558,0.03675,0.060762,High Stress
0.020079,0.025128,0.043057,0.008364,0.02369,Mid Stress
0.282587,0.189604,0.159438,0.053982,0.067805,Not Stress
0.279748,0.333001,0.347686,0.200862,0.460307,High Stress
0.122939,0.099487,0.12362,0.057521,0.150911,Mid Stress
0.379255,0.291513,0.282858,0.153866,0.377679,Not Stress
0.121417,0.139386,0.164997,0.088241,0.205818,High Stress
0.019871,0.0262,0.027136,0.015933,0.031503,Mid Stress
0.145734,0.132486,0.132067,0.05845,0.143567,Not Stress
0.662756,0.718848,0.781667,0.435225,1.133345,High Stress
0.308109,0.418084,0.446445,0.472263,0.718006,Mid Stress
0.455644,0.363718,0.328764,0.135707,0.524172,Not Stress
0.138706,0.124907,0.124703,0.02008,0.04751,High Stress
0.056907,0.051346,0.04323,0.015322,0.023284,Mid Stress
0.138619,0.110328,0.102786,0.022619,0.032512,Not Stress
0.22831,0.288904,0.32988,0.179642,0.478586,High Stress
0.066972,0.077165,0.10117,0.039231,0.151517,Mid Stress
0.253365,0.247597,0.293785,0.160552,0.725921,Not Stress
0.409061,0.405301,0.397709,0.275992,0.830781,High Stress
0.07634,0.076155,0.061969,0.045881,0.062361,Mid Stress
0.430124,0.399953,0.392983,0.325439,0.785605,Not Stress
0.173248,0.228497,0.222106,0.065181,0.052496,High Stress
0.031043,0.042127,0.054776,0.016305,0.023709,Mid Stress
0.429466,0.334152,0.277461,0.100604,0.245299,Not Stress
0.310361,0.244873,0.243915,0.087783,0.205042,High Stress
0.157423,0.082508,0.097324,0.022555,0.055042,Mid Stress
0.108714,0.115365,0.132098,0.066645,0.203341,Not Stress
0.207472,0.218932,0.271996,0.140185,0.426416,High Stress
0.055962,0.064191,0.076178,0.033015,0.119207,Mid Stress
0.156643,0.139044,0.143505,0.053033,0.136618,Not Stress
0.229014,0.284211,0.35059,0.277666,0.727737,High Stress
0.03936,0.049557,0.061183,0.050191,0.119075,Mid Stress
0.295787,0.313025,0.395191,0.280638,0.927109,Not Stress
0.410637,0.546049,0.663203,0.52077,1.377106,High Stress
0.086988,0.135526,0.159336,0.121658,0.302457,Mid Stress
0.358248,0.436281,0.501603,0.416611,1.470934,Not Stress
